object_id,name,details
161, median, A mathematical operation that calculates the middle value.
162, threshold, A value that separates two categories.
163, outlier, A data point that is significantly different from others.
164, anomaly, A data point that is rare or unexpected.
165, discretion, The freedom to make decisions.
166, autonomy, The freedom to act independently.
167, supervision, The process of overseeing others.
168, management, The process of coordinating resources.
169, monitoring, The process of observing and recording.
170, evaluation, The process of assessing performance.
171, recursion, A method that calls itself.
172, iteration, A method that repeats a process.
173, feedback, Information about a process input to itself.
174, feedforward, Information about a process input to another process.
175, control, The process of regulating a system.
176, regulation, The process of controlling a system.
177, reflexivity, The process of reflecting on oneself.
178, self-reference, The process of referring to oneself.
179, self-regulation, The process of controlling oneself.
180, self-organization, The process of organizing oneself.
181, terms of service, A legal agreement for using a service.
182, terms of use, A legal agreement for using a product.
183, privacy policy, A legal agreement for handling personal information.
184, data policy, A legal agreement for handling data.
185, code of ethics, A set of rules for ethical behavior.
186, code of conduct, A set of rules for behavior.
187, code, A set of rules or guidelines.
188, computer code, A set of instructions for a computer.
189, source code, A set of instructions in a programming language.
190, legal code, A set of laws.
191, moral code, A set of ethical principles.
192, ethical code, A set of rules for ethical behavior.
193, professional code, A set of rules for professional behavior.
194, constitution, A set of foundational rules on which other rules are built.
195, bylaws, A set of rules for an organization.
196, rules of order, A set of rules for conducting meetings.
197, parliamentary procedure, A set of rules for conducting meetings.
198, secondary rules, A set of rules for making rules.
199, primary rules, A set of rules for conduct.
200, algorithmic policy, A set of rules for decision-making implemented as computer code.
201, dewey decimal system, A system for organizing library materials.
202, library of congress classification, A system for organizing library materials.
203, faceted classification, A system for organizing library materials.
204, universal decimal classification, A system for organizing library materials.
205, information retrieval, A process for finding information.
206, information organization, A process for organizing information.
207, knowledge organization, A process for organizing knowledge.
208, knowledge representation, A process for representing knowledge.
209, knowledge management, A process for managing knowledge.
210, infrastructure, A set of resources that support a system.
211, knowledge organization infrastructure, A set of resources that support organizing knowledge.
212, address, A reference for localizing an object.
214, content address, A location for finding information derived from its content.
215, location address, A reference for finding an object based on its location.
216, identifier, A unique reference for an object.
217, metadata, Data that describes other data.
218, data, Information in a form that can be processed.
219, information, Data that has been processed.
220, knowledge, Information that has been interpreted.
221, wisdom, Knowledge that has been applied.
222, hyperlink, A reference to another document.
223, URL, A reference to a resource on the internet.
224, URI, A reference to a resource on the internet.
225, DOI, A reference to a document.
226, ISBN, A reference to a book.
227, ISSN, A reference to a periodical.
228, OCLC number, A reference to a library item.
229, call number, A reference to a library item.
230, library card, A reference to a library patron.
231, RID, a reference identifier.
232, PID, a process identifier.
233, PID controller, a control system that regulates a process using proportional; integral and derivative terms.
234, OODA loop, a decision-making process that emphasizes observation; orientation; decision and action.
235, PDCA cycle, a decision-making process that emphasizes plan; do; check and act.
236, DMAIC cycle, a decision-making process that emphasizes define; measure; analyze; improve and control.
237, PDSA cycle, a decision-making process that emphasizes plan; do; study and act.
238, SWOT analysis, a decision-making process that emphasizes strengths; weaknesses; opportunities and threats.
239, PEST analysis, a decision-making process that emphasizes political; economic; social and technological factors.
240, STEEP analysis, a decision-making process that emphasizes social; technological; economic; environmental and political factors.
241, VUCA analysis, a decision-making process that emphasizes volatility; uncertainty; complexity and ambiguity.
242, decision-making framework, a set of rules for making decisions.
243, active inference, a decision-making process that emphasizes minimizing surprise.
244, Bayesian inference, a decision-making process that emphasizes updating beliefs based on evidence.
245, backcasting, a decision-making process that emphasizes starting with a desired outcome and working backwards.
246, forecasting, a decision-making process that emphasizes predicting future outcomes.
247, scenario planning, a decision-making process that emphasizes creating multiple future scenarios.
248, dynamic programming, a decision-making process that emphasizes breaking a problem into subproblems.
249, committee, a group of people who make decisions.
250, board, a group of people who oversee an organization.
251, council, a group of people who advise or make decisions.
252, team, a group of people who work together.
253, working group, a group of people who collaborate on a task.
254, task force, a group of people who work on a specific task.
255, steering committee, a group of people who guide a project.
256, advisory board, a group of people who provide guidance.
257, executive committee, a group of people who make high-level decisions.
258, decision-making body, a group of people who make decisions.
259, signal processing, a field that studies processing of signals into useful information.
260, estimation theory, a field that studies estimating unknown parameters.
261, Cynefin framework, a decision-making framework that emphasizes complexity management.
262, RACI matrix, a decision-making framework that emphasizes roles and responsibilities.
263, occam's razor, a decision-making principle that emphasizes simplicity.
264, pareto principle, a decision-making principle that emphasizes focusing on the most important factors.
265, pareto optimization, a decision-making process that emphasizes maximizing the most important factors.
266, pareto efficiency, a decision-making process that emphasizes balancing factors to maximize outcomes.
267, pareto frontier, a decision-making process that emphasizes finding the best trade-offs.
268, rawles law, a decision-making principle that emphasizes the importance of preparedness.
269, murphy's law, a decision-making principle that emphasizes the importance of planning for the worst.
270, hick's law, a decision-making principle that emphasizes the importance of simplicity.
